Fighter,Elo Rating
Jon Jones,1317.72
Georges St-Pierre,1298.36
Islam Makhachev,1268.8
Max Holloway,1237.82
Khabib Nurmagomedov,1237.01
Belal Muhammad,1234.54
Leon Edwards,1222.17
Aljamain Sterling,1214.44
Amanda Nunes,1211.65
Charles Oliveira,1210.79
Francis Ngannou,1205.11
Demetrious Johnson,1204.46
Robert Whittaker,1202.6
Kamaru Usman,1200.83
Stipe Miocic,1195.41
Dustin Poirier,1193.84
Deiveson Figueiredo,1189.5
Alexander Volkanovski,1188.68
Merab Dvalishvili,1185.84
Dricus Du Plessis,1177.09
Brendan Allen,1175.45
Daniel Cormier,1172.99
Beneil Dariush,1170.25
Ryan Bader,1169.76
Valentina Shevchenko,1166.23
Colby Covington,1163.53
Sean Strickland,1161.67
Alex Pereira,1160.29
Israel Adesanya,1160.28
Alexandre Pantoja,1159.08
Alexander Volkov,1157.86
Magomed Ankalaev,1157.19
Arman Tsarukyan,1155.85
Movsar Evloev,1153.8
Arnold Allen,1151.81
Ciryl Gane,1151.78
TJ Dillashaw,1151.21
Ian Machado Garry,1150.91
Sean O'Malley,1150.72
Cain Velasquez,1149.82
Khamzat Chimaev,1149.61
Randy Brown,1149.55
Tom Aspinall,1149.06
Benson Henderson,1149.03
Ilia Topuria,1148.87
Curtis Blaydes,1147.8
Grant Dawson,1147.51
Zhang Weili,1147.45
Jon Fitch,1146.57
Michael Bisping,1146.16
